,vacancy,salary,min_salary,max_salary,cur_salary,link,site
50,Python developer (Data Engineer),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/33647219?query=Data%20scientist,HH
51,Руководитель направления по аналитике данных,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37303929?query=Data%20scientist,HH
52,Аналитик данных / Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36953584?query=Data%20scientist,HH
53,Data Scientist (Risks & Antifraud),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37283900?query=Data%20scientist,HH
54,Главный аналитик-математик (Data Analyst / Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/30250856?query=Data%20scientist,HH
55,Разработчик ETL-движка,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36601503?query=Data%20scientist,HH
56,Старший специалист направления моделирования и прогнозирования рисков,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35809661?query=Data%20scientist,HH
57,Data Scientist / Machine Learning Engineer,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36719518?query=Data%20scientist,HH
58,Аналитик (data scientist),60 000-120 000 руб.,60 000,120 000 руб.,н/у,https://spb.hh.ru/vacancy/37251546?query=Data%20scientist,HH
59,Senior Data Scientist NLP,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36777568?query=Data%20scientist,HH
60,Data Scientist/Senior Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37246771?query=Data%20scientist,HH
61,Middle / Senior Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36313639?query=Data%20scientist,HH
62,Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37238631?query=Data%20scientist,HH
63,Аналитик / Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36638171?query=Data%20scientist,HH
64,Аналитик (эконометрическое моделирование) / Data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35559381?query=Data%20scientist,HH
65,Senior Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37233904?query=Data%20scientist,HH
66,Middle data scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37226477?query=Data%20scientist,HH
67,Data-инженер (Lead DE «Инструменты управления рисками и потерями в Сети продаж»),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37248056?query=Data%20scientist,HH
68,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37214328?query=Data%20scientist,HH
69,Senior Data Scientist (Predictive analytics),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37105028?query=Data%20scientist,HH
70,Аналитик данных (data analyst)/data scientist (data mining),от 150 000 руб.,от 150 000 руб.,н/у,н/у,https://spb.hh.ru/vacancy/37221045?query=Data%20scientist,HH
71,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37223050?query=Data%20scientist,HH
72,Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36800183?query=Data%20scientist,HH
73,Data Scientist (NLP),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37183492?query=Data%20scientist,HH
74,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37220166?query=Data%20scientist,HH
75,Data Scientist (Computer Vision),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37183409?query=Data%20scientist,HH
76,Senior Data Scientist (Machine Reading),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36416022?query=Data%20scientist,HH
77,Data Analyst / Аналитик больших данных,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37190219?query=Data%20scientist,HH
78,Junior (Middle) Data Scientist / Специалист по машинному обучению,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37189764?query=Data%20scientist,HH
79,Senior Data Scientist (NLP) / Старший специалист по машинному обучению,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37189689?query=Data%20scientist,HH
80,Data Engineer / Инженер данных,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37189731?query=Data%20scientist,HH
81,Senior Data Scientist (Deep Learning),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35304556?query=Data%20scientist,HH
82,Data Scientist (Computer Vision),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36415870?query=Data%20scientist,HH
83,Big data developer/data engineer (middle/senior),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36426931?query=Data%20scientist,HH
84,Senior Data Scientist ( блок УБ),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37176728?query=Data%20scientist,HH
85,Data Scientist (блок риски),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35217354?query=Data%20scientist,HH
86,Senior Data Scientist (AutoML),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36486505?query=Data%20scientist,HH
87,Senior Data Scientist (Surge Pricing),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35409042?query=Data%20scientist,HH
88,Диджитал-аналитик (Digital Analyst),75 000-150 000 руб.,75 000,150 000 руб.,н/у,https://spb.hh.ru/vacancy/37175972?query=Data%20scientist,HH
89,Senior data science,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36815680?query=Data%20scientist,HH
90,Senior Data Scientist,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37151950?query=Data%20scientist,HH
91,Data Scientist в Марусю (Voice Recognition),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/34785750?query=Data%20scientist,HH
92,Data Scientist (клиентская аналитика),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37153130?query=Data%20scientist,HH
93,Ведущий разработчик ETL,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37166498?query=Data%20scientist,HH
94,"Data Scientist/ Machine Learning Engineer/ NLP Developer, SberDevices",,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36777585?query=Data%20scientist,HH
95,Data Scientist (Middle/Senior) - моделирование кредитных рисков корпоративных клиентов (Блок Риски),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/33462158?query=Data%20scientist,HH
96,Data Engineer (Middle/Senior),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35613816?query=Data%20scientist,HH
97,Data Scientists Middle/Senior,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/35723655?query=Data%20scientist,HH
98,ML Разработчик / Data scientist (Центр искусственного интеллекта),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36757081?query=Data%20scientist,HH
99,Senior Data Scientist в NLP лабораторию,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/34880886?query=Data%20scientist,HH
100,Менеджер по клиентской аналитике (Data Scientist),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37124945?query=Data%20scientist,HH
101,Аналитик данных (Data Scientist) разработчик,,н/у,н/у,н/у,https://spb.hh.ru/vacancy/36720253?query=Data%20scientist,HH
102,Marketing Manager (global market),,н/у,н/у,н/у,https://spb.hh.ru/vacancy/37125980?query=Data%20scientist,HH
